uid	query	title	labels
0ee00ad4-9c71-43de-aace-edd758ad26ff	dnd gel nail polish set	2019 new fashion color nail shop special hot style 120 color gel set uv gel nail polish	0
539ddba7-acba-438e-b372-6638e29c9c8a	skoda octavia 3 matrix	android 9.0 octa core car radio gps navigation dvd player stereo multimedia system for skoda octavia 2011 2012 2013	0
f2061f04-50c7-4dc6-9c19-5859b9b6fd86	fibre optic curtain	45w dmx512 rgb fiber optic star ceiling light engine for indoor decoration	0
2be1a695-6639-4460-9393-ae95384e6a7d	laser welding microscope manufacturers	automatic high precision 150w 200w ring bracelet jewelry laser welding machine	0
37d2fd25-6210-4e13-9700-fc0d8e6748db	home torchlight	camping outdoor battery operated 12v 7ah rechargeable torchlight plastic charger plug shell led emergency lighting	0
4dde5f46-5336-461f-be95-2cea3cf5adfe	iron and glas door awning	diy toldos polycarbonate awning door awning aluminum	0
d686c4a2-6074-4043-b168-6b465997613f	homa refrigerator	candor: 88 liters compressor refrigerator/ hotel refrigerator/ hotel freezer bc-88	0
c0ce9a5a-65a5-447d-8fb6-a5e958b0d570	700 ml glass spirits bottle	500 ml glass liquor bottle with the glass base and ancient ship	0
79fa595d-c62e-444b-87cc-7e0323c7b551	mg3 car	clutch pressure plate - 215mm 10092394 for saic car ,mg3 parts	0
c50a7bca-c533-458e-a4c7-f28218971911	natural rough diamonds	gia certification 1ct premium brilliance well polished cut natural loose diamond for jewelry	0
3d620b73-cbca-4b71-b3ce-8b9316a470d3	4 pieces baby set	fashionable baby girls 4 pieces matching romper + leggings + headband + hat sets	1
aba84824-9732-49e5-9001-c2ca1c025582	baby booster	new children furniture set safety height adjustable booster seat kid chair for kid room furniture	1
81e460db-07dd-4318-a545-2558b901da3e	face covering	disposable face mask 3 ply facial cover masks with ear loop breathable non woven	1
8f82ec42-a329-4948-9693-4e72417ff286	fake plants	anti-uv wholesale grass wall decorative plastic fake greenery tropical plants artificial boxwood hedge panels	1
a93f1e8f-b563-4a01-81d9-0978355b5a90	oversize ladies t-shirt	oversized crop tshirt pink ladies t-shirt longline t shirt for women	1
3f8bdff6-269a-4b61-b09e-6e2b0ccc2738	custom logo bangle box	wholesale high end pu leather custom earring bangle bracelet necklace ring gift packaging jewelry box with logo	1
c734e6d6-2229-4a17-a176-0b6a44b79b5d	stainless steel anklet	sjgz029 fashion summer accessory interlocking design stainless steel rose gold plated anklet for women delicate slightly jewelry	1
ff5f5870-42d8-4ddb-b86f-c9efccc847f8	water bottle sprayer	wholesale products super fine spray go with the bottle fine mist water sprayer	1
617ec324-5fe5-45fd-8e4c-a21da74ce7e4	kids purses	cute pig snouts and hip baby touch short plush toys purse frame wonderful gift bag kids cartoon purse coin	1
ae9c5be3-065f-4a18-aca0-df838a1fd2b0	custom tobacco grinder	custom logo 60*44mm plastic herb grinder for grinder weed black tobacco grinder	1
